,,,WholeSaler Stock As On Today(in MT)
S.No,State,District,Dealer Id,Agency Name,Dealer Type,Dealership Nature,Company,Plant,Product,Stock,Stock Date
122,Maharashtra,Kolhapur,199576,Shri Hari Ramaji Patil V K S (,WHOLESALER,District Cooperative Marketing Society,KRIBHCO,KRIBHCO Import,Imported 10-26-26,1.0,2024-01-11,
123,Maharashtra,Kolhapur,1134636,YASHODHAN KSK  CHANDUR,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),12.825,2024-01-11,
124,Maharashtra,Kolhapur,1393193,YASHWANT SAH TAL KVS PORLE,WHOLESALER,District Cooperative Marketing Society,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),7.65,2024-01-11,
125,Maharashtra,Kolhapur,245279,Yashwant T S K V S Ltd,WHOLESALER,District Cooperative Marketing Society,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),2.025,2024-01-11,
126,Maharashtra,Kolhapur,245279,Yashwant T S K V S Ltd,WHOLESALER,District Cooperative Marketing Society,KRIBHCO,KRIBHCO Import,Imported 10-26-26,13.0,2024-01-11,
127,Maharashtra,Latur,1150892,AKSHAY FERTILIZER,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),9.955,2024-01-11,
128,Maharashtra,Nagpur,276767,Vcmf Branch Nagpur,WHOLESALER,District Cooperative Marketing Society,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),4.95,2024-01-11,
129,Maharashtra,Nanded,177172,Agarwal Ksk  Nanded,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),50.071,2024-01-11,
130,Maharashtra,Nanded,177172,Agarwal Ksk  Nanded,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported MAP,42.0,2024-01-11,
131,Maharashtra,Nanded,177172,Agarwal Ksk  Nanded,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported 10-26-26,10.0,2024-01-11,
132,Maharashtra,Nanded,177172,Agarwal Ksk  Nanded,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported 15-15-15,10.0,2024-01-11,
133,Maharashtra,Nanded,1150894,Akshay Fertilizer Nanded,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported MAP,9.0,2024-01-11,
134,Maharashtra,Nanded,542647,Anand S.U.S.S.K.V.S.S.M.Nanded,WHOLESALER,PACS,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),20.115,2024-01-11,
135,Maharashtra,Nanded,334908,Hadoltikar Krushi Seva Kendra ,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),0.03,2024-01-11,
136,Maharashtra,Nanded,554775,Kailash Fertilizers,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),175.14,2024-01-11,
137,Maharashtra,Nanded,554775,Kailash Fertilizers,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported 20-20-0-13,13.5,2024-01-11,
